ID subject;vignette;Verständnisfrage;Frage 1;Nachfrage 1;Nachfrage 2;Nachfrage 3;Nachfrage 4;Bemerkung
5481;2;kaputt;schlecht;;;;;
5481;3;weiß nicht;?;;;;;
5481;4;weiß nicht;weiß nicht;;;;;
5481;5;auf der Mama;weiß nicht;;;;;
5481;6;Kerze;Bäh;;;;;
5481;7;Geburtstag;nicht gut;;;;;
5481;8;weiß nicht;weiß nicht;;;;;
5481;9;Igel;weiß nicht;;;;;
5481;10;Legoauto;weiß nicht;;;;;
1031;1;Monsterfilm;ängstlich;;;;;
1031;2;kaputtgegangen;traurig;;;;;
1031;3;Schokolade;froh;;;;;
1031;4;mag nicht mehr spielen;traurig;;;;;
1031;5;in Mamas Arm;froh;;;;;
1031;6;Schimmel;weiß nicht;;;;;
1031;7;hat Geburtstag;froh;;;;;
1031;8;Hose kaputt gegangen;traurig;;;;;
1031;9;Igel;traurig;;;;;
1031;10;ein Auto;genervt;;;;;
4500;1;über Monster;ängstlich;;;;;
4500;2;kaputtgegangen;traurig;;;;;
4500;3;Wie Mama ein Tafel Schoko... ganz oben in den Schrank tut;fröhlich;;;;;
4500;4;will nicht mehr spielen;traurig;;;;;
4500;5;im Arm von ihrer Mutter;fröhlich;;;;;
4500;6;einen Schimmelfleck;sauer;;;;;
4500;7;zu ihrem Geburtstag;fröhlich;;;;;
4500;8;weil ihre Hose offen ist;ängstlich;;;;;
4500;9;einen Igel;sauer;;;;;
4500;10;ein Spielzeugmodell, was auf der Schachtel war;wütend ;;;;;
3103;1;ein Monsterfilm;ängstlich;;;;;
3103;2;der wurde plattgefahren + jetzt ist er kaputt;traurig;;;;;
3103;3;dass seine Mama Schokol. in den Schrank packt;glücklich;;;;;
3103;4;sie will seit 2 Tagen nicht mehr spielen;traurig;;;;;
3103;5;im Arm seiner Mutter;gut;;gut;;;
3103;6;ein großes Stück Schimmel;dass man es nicht mag;;;;;
3103;7;weil er Geburtstag hat;glücklich;;;;;
3103;8;weil seine Hose offen steht;gar nicht gut;;;;;
3103;9;ein Stacheltier;gar nicht gut;;;;;
3103;10;das Modell auf der Schachtel;wütend;;;;;
6168;1;weiß nicht -> weiß nicht --> Monster;Angst;;;;;"2x; Kind hört keinen Ton --> nochmal abgespielt"
6168;2;Auto überfahren;traurig;;;;;
6168;3;Schokolade;hungrig;;;weiß nicht;;
6168;4;will nicht mehr spielen;weiß nicht;;;;;ab da funktioniert alles
6168;5;bei seiner Mutter;weiß nicht;;;;;
6168;6;Schimmel ;schimmelig;;;eklig;;
6168;7;Geburtstag;gut;;geschenkreich;;;
6168;8;Hose steht offen;Angst, traurig, wütend;;;;Angst;
6168;9;Igel;weiß nicht;;;;;
6168;10;Sein Spielzeug;Spielzeugmäßig, Spielzeugfußend;;;;;
4542;1;Gruselfilm;gruselig;;;;;
4542;2;ist auf die Straße gefallen + überfahren von LKW;traurig;;;;;
4542;3;die Tafel Schokolade;hungrig;;/;;;
4542;4;will nicht mehr spielen + sich ausruhen;schlecht;;/;;;
4542;5;bei seiner Mutter;gut;;/;;;
4542;6;Schimmel;schlecht;;/;;;
4542;7;zu seinem Geburtstag;gut;;/;;;
4542;8;weil seine Hose aufgeplatzt ist;schlecht;;/;;;
4542;9;Igel;sauer;;;;;
4542;10;ein Spielzeugauto;betrogen;;/;;;
8405;1;Monster;ängstlich;;;;;
8405;2;ist kaputt;traurig;;;;;
8405;3;die Schokolade;möchte Schoko unbedingt haben;;;aufgeregt;;
8405;4;möchte nicht mehr spielen;traurig;;;;;
8405;5;auf Mamas Schoß;fröhlich;;;;;
8405;6;Schimmel ;traurig;;;;;
8405;7;Geburtstag;fröhlich;;;;;
8405;8;ihre Hose offen;Schämlich;;;;;
8405;9;Igel;wütend + traurig;;;;wütend;
8405;10;das, was auf der Schachtel war;wütend + traurig;;;;wütend;
6737;1;Monster-Film;schlecht;;er hat Angst;;;
6737;2;er ist auf die Straße gefallen;traurig;;;;;
6737;3;die Schokolade;gut;;er will die Schokolade heben;weiß ich nicht ;;
6737;4;sie schläft nur;er hat Angst;;;;;
6737;5;auf Mamas Schoß;gut;;es kann ihm keiner weh tun;weiß nicht;;
6737;6;riesen Fleck Schimmel;schlecht;;weiß nicht;;;
6737;7;weiß nicht;weiß nicht;weiß nicht;;;;2x
6737;8;-;-;;;;;"Pause; Abbruch, Kind hat keine Lust mehr"
6737;9;-;-;;;;;
6737;10;-;-;;;;;
6444;1;gruseliger Film;ängstlich;;;;;
6444;2;Laster hat ihn überfahren;traurig;;;;;
6444;3;Mutter räumt Schokolade in den Schrank ;glücklich;;;;;
6444;4;will schlafen;nachdenklich;;schlecht;nicht sehr wohl;;
6444;5;bei ihrer Mama;gut;;toll;glücklich;;
6444;6;Schimmel;schlecht;;nicht gut;;;
6444;7;zum Geburtstag;glücklich;;;;;
6444;8;weil ihre Hose offen ist;nicht so gut;;schlecht;;;
6444;9;einen Igel;wütend;;;;;
6444;10;bekommt ein Modell nicht hin;schlecht;;gut;;;
644;1;Gruselfilm;ängstlich;;;;;
644;2;überfahren;traurig;;;;;
644;3;Schokolade;aufgeregt;;;;;
644;4;schläft einfach nur;nicht sicher;;als würde ich an etwas denken, das nicht zu denken ist;als würde man verrückt;;
644;5;im Schoss ihrer Mama;schön;;freut sich;;;
644;6;Schimmel;eklig;;;;;
644;7;weiß nicht -> Geburtstag;fröhlich;;;;;2x
644;8;Hose offen;peinlich;;;;;
644;9;Igel;wütend;;;;;
644;10;Legoauto;nicht gut;;wütend;;;
3519;1;Gruselfilm;hat Angst;;;;;
3519;2;er ist kaputt;traurig;;;;;
3519;3;die Schokolade;fröhlich, aufgeregt;;;;;
3519;4;hat eine Maus gefressen;nicht so gut, ich weiß nicht genau wie ich das sagen soll;;;;;
3519;5;auf dem Schoß seiner Mutter;wohl, sicher;;;;;
3519;6;Schimmel;nicht so;;;;;
3519;7;weil er Geburtstag hat;froh;;;;;
